budget,genre_avg,genre_max,company_avg,company_max,country_avg,country_max,language_avg,language_max,cast_avg,cast_max,cast_dim,cast_count,keyword_avg,keyword_max,keyword_dim,keyword_count,directing_avg,directing_max,writing_avg,writing_max,production_avg,production_max,editing_avg,editing_max,camera_avg,camera_max,art_avg,art_max,sound_avg,sound_max,costume_avg,costume_max,revenue
103000000,0.07331398266666667,0.14818096,0.002953534928571429,0.010051423,0.068023747,0.12482122,0.096605696,0.096605696,0.00047905066075,0.0058595845,0.008006759085,40,0.0011446799843478261,0.010869208,0.006667360576190475,23,0.003193264266666667,0.0067785783,0.0030582885000000003,0.0040396773,0.0006488704311111111,0.003764211,0.00115378195,0.0031389308,0.0012920549398571426,0.008035922,0.000855607011807143,0.0056093056,0.0012311312774074073,0.022061883,0.0009131148153333333,0.004799359,465361176
9000000,0.03090089,0.03467497,0.0006214759175,0.0023215902,0.12482122,0.12482122,0.096605696,0.096605696,9.102136195434908e-05,0.001943441184888553,0.0019225543416398498,13,0.0005178866869565217,0.0050871493,0.0026867078958513705,23,0.001997381193333333,0.0046533444,0.005347717853333333,0.0150598455,0.001930012157,0.02132101,0.00045356184,0.00045356184,0.00042664833999999995,0.0007551206,0.0003871860989875183,0.00234513418958099,2.518071e-05,0.00022662639,7.0146268e-05,0.00035073134,39723096
90000000,0.093504864,0.14818096,0.005577331025,0.010051423,0.12482122,0.12482122,0.053710856,0.096605696,0.0002997268111111111,0.0054096035,0.007249337224166668,36,0.0006374059375,0.001840149,0.0031688453999999997,8,0.002179279615,0.008846313,0.0046024094,0.0048529822,0.0007154419971666667,0.009951472,0.0030182953444444446,0.008155525,0.0011938258266666667,0.009873133,0.0016210747025,0.018277848,0.004117851101818182,0.04330192,0.0020115498507692303,0.012573313,429632142
4500000,0.0298943475,0.038828768,0.0009989605666666666,0.0029968817,0.12482122,0.12482122,0.096605696,0.096605696,1.619833972972973e-05,0.000723573,0.000930054335,74,8.510947166666666e-05,0.0007221686,0.00066022936,12,0.0007383745,0.0007383745,0.0013285821617197286,0.0027709717037883203,0.00022538069,0.0011910388,0.0011854199661397397,0.002787371915319359,0.000313948085,0.00062789617,0.0003871860989875183,0.00234513418958099,6.338595e-05,0.00019015785,0.0029873062,0.007724301,7390108
75000000,0.033543516,0.038828768,0.004132160825,0.008580153,0.12482122,0.12482122,0.096605696,0.096605696,0.0001811801584047619,0.00568002,0.0037015939665833333,42,0.002340598075,0.005781514,0.009605350265,8,0.0060070676,0.011709261,0.010870973,0.010870973,0.00159639304375,0.00792096,0.0009753977,0.0010428941,0.0019031469942857142,0.0052431244,0.00052951330375,0.002583331,0.0016110266992307694,0.009579268,0.0023429866857142857,0.012573313,248118121
10000000,0.0497055635,0.0784512,0.002783762,0.005567524,0.068023747,0.12482122,0.053710856,0.096605696,7.411035970149254e-05,0.0046574823,0.00263665295,67,0.00010257784620000001,0.0009748591,0.0011676605798333333,15,0.0008608967490908021,0.0024647112889339337,0.0013285821617197286,0.0027709717037883203,0.00012753019000000002,0.0012899976,0.000182497772,0.00070459174,0.00014687555714285714,0.0010281289,0.0003871860989875183,0.00234513418958099,0.0006004941434122746,0.004117134003273924,0.0003601484,0.0025210388,83557872
123000000,0.076708182,0.086965166,0.002560161866666667,0.005215505,0.069530477,0.12482122,0.096605696,0.096605696,0.00023144066113207546,0.0049402737,0.006900282942619047,53,0.0006273741875,0.002296696,0.0029639396198809518,12,0.0007973648000000001,0.0010493041,0.00229394875,0.009175795,0.00032293952666666666,0.0007925787,0.0013369414,0.0026738828,0.0009224323,0.0009224323,0.00085268082,0.0018789979,0.0031238147,0.0031238147,0.0007611696571428572,0.0016453979,345141403
40000000,0.07064272825,0.14818096,0.0025409708474296924,0.005556659511429063,0.068023747,0.12482122,0.06532386379999999,0.21487367,0.000353506184,0.010219638,0.01041241176,30,0.00032277379374999997,0.001840149,0.002624357533333333,16,0.0010325856,0.0010325856,0.0013285821617197286,0.0027709717037883203,0.00036329595,0.0007265919,0.0011854199661397397,0.002787371915319359,0.0007232078,0.0007232078,0.0027356919875,0.0053923368,0.0006004941434122746,0.004117134003273924,0.0005022238540563571,0.002659577594462819,144056873
90000000,0.029522372333333335,0.03467497,0.0091285633,0.015924368,0.12482122,0.12482122,0.096605696,0.096605696,0.0003066882112903226,0.008722091,0.004750157089523809,62,0.00039585570857142855,0.0026438239,0.0030556278233333334,21,0.0009346623766666667,0.00211296,8.9859735e-05,0.00017971947,0.00030453562937499996,0.0024985,0.0030238634999999996,0.007157049,0.0005358899933333333,0.0012450232,0.0005021584573684211,0.0031164563,0.0009329808728536585,0.022061883,0.0005495846685,0.0023050779,237202299
26000000,0.08253069566666667,0.14818096,0.00182406364,0.005215505,0.05007356233333333,0.12482122,0.096605696,0.096605696,7.649970125e-05,0.0013699997,0.0015120955174999999,24,0.0007342317985714286,0.004998691,0.0026402770900000004,7,5.2843592e-05,5.5164e-05,0.0007888621,0.0018201807,0.00031704763428571427,0.00088186277,0.0004675562425,0.0015467668,0.0011078677,0.0012609506,0.0011598562075,0.004116568,0.0010715455845294118,0.0036226914,0.0010770523325,0.0026338967,71868327
